IDENT	LATITUDE	LONGITUDE
INZUB	52,491388889	20,5175
KINFU	52,3075	20,996944444
KITEQ	51,983888889	20,9725
KUGEB	51,986388889	20,783611111
LUHSA	52,39	20,884444444
LUWSO	52,231388889	21,246944444
MAWBI	51,883333333	20,869444444
MENCI	52,388611111	20,697222222
OFIFE	52,363611111	20,475833333
PATFO	52,449722222	20,670277778
ROMQI	52,188611111	21,339166667
SERFU	51,938055556	20,969166667
SOFUZ	52,1525	21,131111111
VEKPE	52,032777778	20,928611111
ZEBWI	52,224444444	21,474444444
NEHIM	53,959444444	15,227777778
APNEZ	53,260555556	15,283333333
OBDEJ	53,936388889	15
ZAWIK	53,301944444	15,526388889
UBEPE	49,958888889	21,326388889
KIKZA	49,991111111	21,4975
EPLUZ	50,299166667	22,326666667
SUWGI	54,069722222	22,900277778
FORFE	53,222222222	15,586944444
XENIS	52,494111111	20,892916667
BADUP	52,059166667	17,421111111
BESTO	51,73	17,398888889
VABAT	52,543265083	16,193606389
XIDNA	51,700000056	16,997500056
DENKO	52,81685	15,832491694
TENVO	52,231694417	17,774199972
MASIV	52,012481056	17,856630306
OLDOX	52,308888889	17,636388889
IDMAV	52,318055556	16,466388889
BANPI	52,466785389	17,085075611
ETABI	52,293827889	16,443930306
BAISA	52,651404167	16,626526556
ACTAF	52,660833333	16,241111111
CELWO	52,355	16,895555556
YUMME	52,02	16,8275
YODQA	52,658055556	16,455277778
DISBI	52,066388889	22,978055556
EKBUT	52,863888889	15,004722222
ELGOX	50,564722222	18,300833333
EMGIP	52,605	18,574722222
ERPAB	52,635	18,319166667
ERMIV	51,811944444	20,738333333
EVGAG	51,906388889	15,2525
EVGUR	51,306111111	19,6125
GESDU	51,810833333	20,503611111
IRDEB	51,810555556	21,892222222
IXURO	51,017777778	15,543888889
OLNED	53,165833333	16,6275
ORVOG	51,495555556	20,229166667
OSBUG	50,133333333	21,014444444
OTMAX	53,089722222	21,195
TUREC	47,965	24,583055556
EDEMU	48,174444444	19,808055556
OTPES	53,439444444	20,349166667
REMVU	51,165555556	15,2325
TITUV	53,191111111	22,0275
ULGOS	51,215277778	21,371666667
UNPEG	53,256944444	22,595555556
UPKIS	50,350277778	17,998333333
UVNUL	52,592222222	17,631388889
UVROB	52,566944444	21,021666667
VAGDU	50,872222222	21,364444444
VAXUR	51,809166667	22,098611111
XERBI	53,032222222	15,671111111
TITLU	52,554888889	20,755861111
OLMUK	50,700277778	16,942222222
PEPOX	53,244722222	16,622777778
ERLEG	52,013111111	21,100055556
GODIL	52,424694444	20,373194444
OGRAR	52,418166667	20,305972222
OSNUT	52,303333333	20,846388889
TEBRU	52,103748417	21,187011917
GOSIT	52,237681389	20,709403222
IBNUS	53,005277778	18,601388889
OGRES	54,010555556	17,015277778
