IDENT	LATITUDE	LONGITUDE
LB398	51,212972222	22,525027778
LB421	51,163666667	22,060527778
LB422	51,179583333	22,224527778
LB423	51,1905	22,338555556
LB471	51,171388889	22,086972222
LB472	51,212861111	22,418222222
LB473	51,306111111	22,563083333
LB474	50,919444444	22,276472222
LB476	50,950277778	22,444944444
AEPKR	49,677813889	21,74495
WA697	51,9205	21,180166667
RZ744	50,1055	22,32475
RZ752	50,103305556	22,459222222
RZ742	50,1015	22,569444444
RZ741	50,123027778	22,746472222
RZ729	49,957916667	21,429638889
RZ712	50,193555556	21,981444444
RZ709	50,017583333	21,394861111
RZ731	50,021638889	22,032027778
RZ713	50,188194444	22,329527778
RZ711	50,195361111	21,846305556
RZ461	49,993944444	21,316166667
RZ442	50,196861111	21,714611111
RZ441	50,305722222	22,01
RZ623	50,116083333	21,415444444
RZ532	50,188277778	22,325305556
MO996	52,521805556	20,262916667
MO993	52,437777778	20,50975
EPJSZ	50,883888889	15,811111111
EPJSW	50,938333333	15,909166667
EPJSS	50,829444444	15,707222222
EPJSP	50,963611111	15,645
EPJSJ	50,874722222	15,92
EPJSA	50,961111111	15,796388889
RZ491	49,911611111	22,176222222
EPKKD	49,856944444	20,141666667
EPLLS	51,690277778	19,443333333
EPLLK	51,728611111	19,810555556
EPRZK	50,246111111	21,786666667
EPRZT	49,972777778	22,033888889
EPSCN	53,601666667	14,964166667
EPSCR	53,651111111	15,066944444
EPWRS	51,075	16,883888889
EPWRG	50,989444444	16,834166667
EPWRN	51,125833333	16,903055556
EPRZQ	50,039166667	22,069166667
EPDEO	51,535	21,761111111
EPPTE	51,376666667	19,819444444
EPPTN	51,443611111	19,723333333
EPPTS	51,299444444	19,658611111
EPPTW	51,41	19,634722222
EPGIO	53,555527778	18,765722222
EPZGS	52,121666667	15,810277778
EPZGN	52,164722222	15,811944444
EPBYK	52,9725	17,722777778
EPBYM	53,223611111	18,036944444
EPBYU	53,207777778	18,378611111
EPBYW	52,976111111	18,099444444
EPDAG	54,44	16,373333333
EPDAJ	54,54	16,545
EPLKB	51,343333333	19,376388889
EPLKD	51,69	18,980833333
EPLKM	51,458055556	18,8375
EPMBS	53,986666667	19,156388889
EPMBG	54,141666667	19,008333333
EPMBF	53,913055556	18,886666667
EPMMS	52,15	21,666388889
EPMMK	52,113333333	21,585277778
EPMMM	52,107777778	21,827777778
EPOKL	54,605	18,248611111
EPOKW	54,790277778	18,408333333
EPOKK	54,769722222	18,160277778
EPOKH	54,610277778	18,798888889
EPPWW	52,34	17,556388889
EPRAB	51,247222222	21,238888889
EPRAS	51,310555556	21,252777778
AEPPJ	51,028833333	20,154694444
AEPSZ	51,223888889	21,862222222
AEPLA	51,223055556	22,551666667
AEPLP	49,697222222	19,098055556
AEPAS	54,291111111	18,425277778
AEPAH	54,291388889	18,429166667
EPWAW	52,156936111	20,949727778
EPMOH	52,549166667	20,501111111
EPMOU	52,429166667	20,654166667
EPKKK	50,05	19,8
EPWAX	52,108611111	20,830902778
EPMOV	52,394722222	20,540555556
EPLBJ	51,100833333	22,582777778
EPLBK	51,115833333	22,761944444
EPLBS	51,221666667	22,741944444
EPLBT	51,280277778	22,703888889
EPGDG	54,374444444	18,778888889
EPGDI	54,471111111	18,309722222
EPGDM	54,444722222	18,544444444
EPGDX	54,276111111	18,489444444
EPGDZ	54,325	18,183611111
EPZGC	52,031666667	15,626944444
EPZGD	52,158055556	15,52
EPLYD	52,100775	18,862141667
EPLYF	51,997752778	18,802677778
EPZGK	52,066666667	15,86
EPZGI	52,304166667	16,131388889
EPZGW	52,0975	16,095277778
EPZGZ	52,230833333	15,805555556
EPKKE	50,041944444	20,097777778
EPKKL	50,136388889	20,114444444
EPRAP	51,5375	21,398888889
EPRAR	51,403333333	21,088888889
EPRAW	51,250833333	21,079166667
EPRAM	51,366111111	21,490277778
EPBCK	52,091291667	21,237377778
EPBCN	52,217513889	21,097272222
EPBCT	51,970686111	20,833544444
EPOKJ	54,678888889	18,720277778
EPPWL	52,4125	17,8675
EPMMR	52,304444444	21,55
EPMMN	52,245	21,651111111
EPLLE	51,8	19,636111111
EPLLG	51,690555556	19,133888889
EPLLW	51,744444444	19,12
EPLLX	51,891666667	19,635
EPLKS	51,533055556	19,172222222
EPLKN	51,57	19,188055556
EPKRB	49,7625	21,684722222
EPMIM	53,482777778	16,345277778
EPMIK	53,298333333	15,905833333
EPMIL	53,458333333	15,945555556
